Zack Greinke*11.6*9800*P
Matt Cain*9.6*7200*P
Corey Kluber*10.5*7000*P
Jake Peavy*10.9*6700*P
Joe Kelly*4.7*6400*P
Roy Halladay*6.5*6300*P
Tyson Ross*5.6*6300*P
Wei-Yin Chen*9.2*6100*P
Mike Trout*3.9*5500*OF
John Danks*8.3*5400*P
Hanley Ramirez*3.7*5400*SS
Jeff Locke*9.2*5400*P
Garrett Richards*4.2*5200*P
J.A. Happ*7.2*5100*P
Jeremy Hellickson*8.4*5100*P
Andrew McCutchen*3.4*4900*OF
Edwin Encarnacion*3.4*4900*1B
Shane Victorino*3*4700*OF
Jacoby Ellsbury*3.3*4600*OF
Mike Napoli*2.9*4600*1B
Yasiel Puig*3.1*4500*OF
Chris Rusin*7.4*4500*P
Phil Hughes*7*4500*P
Matt Carpenter*2.7*4400*2B
Tyler Thornburg*4.7*4400*P
Chris Davis*3.9*4400*1B
Adam Jones*3.1*4200*OF
David Ortiz*3.4*4200*1B
Robinson Cano*3.1*4100*2B
Jose Reyes*2.8*4100*SS
Alfonso Soriano*2.9*4100*OF
Buster Posey*2.5*4000*C
Will Middlebrooks*2.2*4000*3B
Carlos Santana*2.5*4000*C
Carlos Beltran*2.7*3900*OF
Starling Marte*2.9*3900*OF
Brett Gardner*2.6*3900*OF
Pablo Sandoval*2.2*3800*3B
Evan Longoria*2.8*3800*3B
Will Venable*1.9*3800*OF
Manny Machado*2.5*3800*3B
Everth Cabrera*2.9*3800*SS
Andre Ethier*2.1*3800*OF
Ryan Raburn*2.6*3800*2B
Cody Asche*2.3*3700*3B
Josh Hamilton*2.3*3700*OF
Hunter Pence*2.9*3700*OF
Alex Rodriguez*3*3700*3B
Marlon Byrd*2.7*3700*OF
Jason Kipnis*3.1*3700*2B
Jonny Gomes*2*3700*OF
Juan Uribe*1.7*3600*3B
Yadier Molina*2.5*3600*C
Jonathan Lucroy*2.4*3600*C
Brandon Belt*2.4*3600*1B
Matt Holliday*3*3600*OF
Aramis Ramirez*2.4*3600*3B
Adrian Gonzalez*2.5*3600*1B
Wil Myers*2.7*3600*OF
Kole Calhoun*2.5*3600*OF
Angel Pagan*2.6*3500*OF
Nate McLouth*2.5*3500*OF
Rajai Davis*2.3*3500*OF
Domonic Brown*2.7*3500*OF
Mark Trumbo*2.7*3500*OF
Khristopher Davis*2.2*3500*OF
